10 10
-2791 1.31 116492 9242;-2791 1.43 120093 171227;-2791 1.5 120093 120813;-2791 1.59 123694 70399;-2791 1.59 123694 16384;-2791 1.59 127295 181970;-2791 1.79 127295 127955;-2791 1.79 130896 77541;-2791 1.87 130896 27127;-2791 1.87 134497 189112;
-2791 1.31 116492 149621;-2791 1.47 120093 95606;-2791 1.77 120093 45192;-2791 1.59 123694 210778;-2791 1.59 123694 156763;-2791 1.59 127295 106349;-2791 1.76 127295 55935;-2791 2.12 130896 1920;-2791 1.87 130896 167506;-2791 1.87 134497 117092;
-2791 0.0 116492 74000;-2791 0.3 116492 23586;-2791 0.3 120093 185571;-2791 0.0 120093 135157;-2791 0.0 123694 81142;-2791 0.0 123694 30728;-2791 0.39 127295 196314;-2791 0.39 127295 142299;-2791 0.0 130896 91885;-2791 0.0 130896 41471;
-2791 0.0 112891 214379;-2791 0.3 116492 163965;-2791 0.3 116492 109950;-2791 0.0 120093 59536;-2791 0.0 120093 9122;-2791 0.0 123694 171107;-2791 0.39 123694 120693;-2791 0.39 127295 66678;-2791 0.0 127295 16264;-2791 0.0 130896 181850;
-2791 0.0 112891 138758;-2791 0.3 116492 88344;-2791 0.3 116492 34329;-2791 0.0 120093 199915;-2791 0.0 120093 149501;-2791 0.0 123694 95486;-2791 0.39 123694 45072;-2791 0.39 127295 210658;-2791 0.0 127295 156643;-2791 0.0 127295 106229;
-2791 1.22 112891 63137;-2791 1.57 112891 12723;-2791 1.41 116492 178309;-2791 1.42 116492 124294;-2791 1.42 120093 73880;-2791 1.42 120093 19865;-2791 1.79 123694 185451;-2791 1.53 123694 135037;-2791 1.47 127295 81022;-2791 1.47 127295 30608;
-2791 1.22 109290 203516;-2791 1.39 112891 153102;-2791 1.8 112891 102688;-2791 1.42 116492 48673;-2791 1.42 116492 214259;-2791 1.42 120093 163845;-2791 1.52 120093 109830;-2791 1.85 123694 59416;-2791 1.47 123694 5401;-2791 1.47 127295 170987;
-2791 0.0 109290 131496;-2791 0.5 112891 77481;-2791 0.5 112891 27067;-2791 0.0 116492 189052;-2791 0.0 116492 138638;-2791 0.0 120093 88224;-2791 0.44 120093 34209;-2791 0.44 123694 199795;-2791 0.0 123694 149381;-2791 0.0 123694 95366;
-2791 0.0 109230 55875;-2791 0.5 109290 1860;-2791 0.5 112891 167446;-2791 0.0 112891 113431;-2791 0.0 116492 63017;-2791 0.0 116492 12603;-2791 0.44 120093 174588;-2791 0.44 120093 124174;-2791 0.0 123694 73760;-2791 0.0 123694 19745;
-2791 0.0 105629 196254;-2791 0.5 109230 142239;-2791 0.5 109290 91825;-2791 0.0 112891 41411;-2791 0.0 112891 203396;-2791 0.0 116492 152982;-2791 0.44 116492 98967;-2791 0.44 120093 48553;-2791 0.0 120093 214139;-2791 0.0 123694 160124;
108185 112503 48254 55619 0 22967 
