20 20
-654 0.0 14644 49213;-654 0.0 18245 63617;-654 0.0 21846 78021;-654 2.55 21846 92425;-654 2.55 25447 110430;-654 0.0 25447 124834;-654 0.0 29048 139238;-654 0.0 29048 153642;-654 2.12 32649 168046;-655 2.12 32649 186051;-655 0.0 36250 200455;-655 0.0 36250 214859;-655 0.0 39851 13263;-655 2.17 43452 27667;-655 2.17 43452 45672;-655 0.0 47053 60076;-655 0.0 47053 74480;-655 0.0 50654 88884;-655 2.19 50654 103288;-656 2.19 54255 121293;
-654 0.0 18245 9602;-654 0.0 18245 27607;-654 0.0 21846 42011;-654 2.55 21846 56415;-654 2.55 25447 70819;-654 0.0 25447 85223;-654 0.0 29048 103228;-654 0.0 32649 117632;-654 2.12 32649 132036;-655 2.12 36250 146440;-655 0.0 36250 164445;-655 0.0 39851 178849;-655 0.0 39851 193253;-655 2.17 43452 207657;-655 2.17 43452 6061;-655 0.0 47053 24066;-655 0.0 47053 38470;-655 0.0 50654 52874;-655 2.19 54255 67278;-656 2.19 54255 81682;
-654 2.73 18245 189592;-654 2.73 18245 203996;-654 2.73 21846 6001;-654 5.06 25447 20405;-654 3.22 25447 34809;-654 2.63 29048 49213;-654 2.63 29048 63617;-654 2.63 32649 81622;-654 4.65 32649 96026;-655 3.19 36250 110430;-655 2.8 36250 124834;-655 2.8 39851 142839;-655 2.8 39851 157243;-655 4.84 43452 171647;-655 3.33 47053 186051;-655 2.91 47053 200455;-655 2.91 50654 2460;-655 2.91 50654 16864;-655 4.96 54255 31268;-656 3.42 54255 45672;
-654 2.73 18245 153582;-654 2.73 21846 167986;-654 2.73 21846 182390;-654 3.22 25447 200395;-655 4.94 25447 214799;-655 2.63 29048 13203;-655 2.63 29048 27607;-655 2.63 32649 42011;-655 3.18 36250 60016;-656 4.86 36250 74420;-656 2.8 39851 88824;-656 2.8 39851 103228;-656 2.8 43452 117632;-656 3.33 43452 135637;-656 4.97 47053 150041;-656 2.91 47053 164445;-656 2.91 50654 178849;-656 2.91 50654 196854;-656 3.41 54255 211258;-657 5.04 57856 9662;
-654 0.0 18245 117572;-654 0.0 21846 131976;-654 0.0 21846 146380;-654 2.45 25447 160784;-655 2.45 29048 175188;-655 0.0 29048 193193;-655 0.0 32649 207597;-655 0.0 32649 6001;-655 2.3 36250 20405;-656 2.3 36250 38410;-656 0.0 39851 52814;-656 0.0 39851 67218;-656 0.0 43452 81622;-656 2.28 43452 96026;-656 2.28 47053 114031;-656 0.0 50654 128435;-656 0.0 50654 142839;-656 0.0 54255 157243;-656 2.26 54255 171647;-657 2.26 57856 189652;
-654 0.0 21846 77961;-654 0.0 21846 95966;-654 0.0 25447 110370;-654 2.45 25447 124774;-655 2.45 29048 139178;-655 0.0 29048 153582;-655 0.0 32649 171587;-655 0.0 32649 185991;-655 2.3 36250 200395;-656 2.3 39851 214799;-656 0.0 39851 16804;-656 0.0 43452 31208;-656 0.0 43452 45612;-656 2.28 47053 60016;-656 2.28 47053 74420;-656 0.0 50654 92425;-656 0.0 50654 106829;-656 0.0 54255 121233;-656 2.26 54255 135637;-657 2.26 57856 150041;
-654 0.0 21846 41951;-654 0.0 21846 56355;-654 0.0 25447 74360;-654 2.45 25447 88764;-655 2.45 29048 103168;-655 0.0 32649 117572;-655 0.0 32649 131976;-655 0.0 36250 149981;-655 2.3 36250 164385;-656 2.3 39851 178789;-656 0.0 39851 193193;-656 0.0 43452 207597;-656 0.0 43452 9602;-656 2.28 47053 24006;-656 2.28 47053 38410;-656 0.0 50654 52814;-656 0.0 54255 70819;-656 0.0 54255 85223;-656 2.26 57856 99627;-657 2.26 57856 114031;
-654 2.74 21846 5941;-654 2.74 25447 20345;-654 2.74 25447 34749;-654 5.0 29048 49153;-655 3.26 29048 67158;-655 2.73 32649 81562;-655 2.73 32649 95966;-655 2.73 36250 110370;-655 4.89 36250 128375;-656 3.28 39851 142779;-656 2.82 43452 157183;-656 2.82 43452 171587;-656 2.82 47053 185991;-656 4.96 47053 203996;-656 3.37 50654 2400;-656 2.92 50654 16804;-656 2.92 54255 31208;-656 2.92 54255 45612;-656 5.05 57856 63617;-657 3.47 57856 78021;
-655 2.74 21846 185931;-655 2.74 25447 200335;-655 2.74 25447 214739;-655 3.26 29048 13143;-656 5.0 29048 27547;-656 2.73 32649 45552;-656 2.73 36250 59956;-656 2.73 36250 74360;-656 3.28 39851 88764;-656 5.0 39851 106769;-656 2.82 43452 121173;-656 2.82 43452 135577;-656 2.82 47053 149981;-656 3.37 47053 164385;-657 5.08 50654 182390;-657 2.92 50654 196794;-657 2.92 54255 211198;-657 2.92 57856 9602;-657 3.46 57856 24006;-657 5.17 61457 42011;
-655 0.0 21846 146320;-655 0.0 25447 164325;-655 0.0 29048 178729;-655 2.44 29048 193133;-656 2.44 32649 207537;-656 0.0 32649 5941;-656 0.0 36250 23946;-656 0.0 36250 38350;-656 2.39 39851 52754;-656 2.39 39851 67158;-656 0.0 43452 81562;-656 0.0 47053 99567;-656 0.0 47053 113971;-656 2.38 50654 128375;-657 2.38 50654 142779;-657 0.0 54255 160784;-657 0.0 54255 175188;-657 0.0 57856 189592;-657 2.37 57856 203996;-657 2.37 61457 2400;
-655 0.0 25447 110310;-655 0.0 25447 124714;-655 0.0 29048 139118;-655 2.44 29048 157123;-656 2.44 32649 171527;-656 0.0 32649 185931;-656 0.0 36250 200335;-656 0.0 39851 2340;-656 2.39 39851 16744;-656 2.39 43452 31148;-656 0.0 43452 45552;-656 0.0 47053 59956;-656 0.0 47053 77961;-656 2.38 50654 92365;-657 2.38 50654 106769;-657 0.0 54255 121173;-657 0.0 54255 139178;-657 0.0 57856 153582;-657 2.37 61457 167986;-657 2.37 61457 182390;
-655 0.0 25447 74300;-655 0.0 25447 88704;-655 0.0 29048 103108;-655 2.44 32649 117512;-656 2.44 32649 135517;-656 0.0 36250 149921;-656 0.0 36250 164325;-656 0.0 39851 178729;-656 2.39 39851 196734;-656 2.39 43452 211138;-656 0.0 43452 9542;-656 0.0 47053 23946;-656 0.0 50654 38350;-656 2.38 50654 56355;-657 2.38 54255 70759;-657 0.0 54255 85163;-657 0.0 57856 99567;-657 0.0 57856 113971;-657 2.37 61457 131976;-657 2.37 61457 146380;
