20 20
-2644 3.19 117872 143139;-2644 7.8 117872 85523;-2646 5.52 121473 27907;-2646 3.08 121473 186291;-2646 3.08 121473 128675;-2646 3.08 125074 71059;-2646 7.83 125074 13443;-2647 5.62 125074 171827;-2647 2.89 128675 114211;-2647 2.89 128675 52994;-2647 2.89 128675 211378;-2647 7.48 132276 153762;-2648 5.39 132276 96146;-2648 2.6 132276 38530;-2648 2.6 135877 196914;-2648 2.6 135877 139298;-2648 6.85 135877 81682;-2649 4.86 139478 24066;-2649 1.85 139478 182450;-2649 1.85 143079 124834;
-2645 3.19 117872 103528;-2645 5.52 117872 45912;-2646 7.66 117872 204296;-2646 3.08 121473 146680;-2646 3.08 121473 89064;-2646 3.08 121473 27847;-2646 5.61 125074 186231;-2648 7.6 125074 128615;-2648 2.89 125074 70999;-2648 2.89 128675 13383;-2648 2.89 128675 171767;-2648 5.37 128675 114151;-2649 7.14 132276 56535;-2649 2.6 132276 214919;-2649 2.6 132276 157303;-2649 2.6 135877 99687;-2649 4.82 135877 38470;-2650 5.95 135877 196854;-2650 1.85 139478 139238;-2650 1.85 139478 81622;
-2645 0.0 114271 63917;-2645 4.82 114271 2700;-2646 4.82 117872 161084;-2646 0.0 117872 103468;-2646 0.0 117872 45852;-2646 0.0 121473 204236;-2646 4.91 121473 146620;-2648 4.91 121473 89004;-2648 0.0 125074 31388;-2648 0.0 125074 189772;-2648 0.0 125074 132156;-2648 4.68 128675 70939;-2649 4.68 128675 13323;-2649 0.0 128675 171707;-2649 0.0 132276 114091;-2649 0.0 132276 56475;-2649 4.02 135877 214859;-2650 4.02 135877 157243;-2650 0.0 135877 99627;-2650 0.0 139478 42011;
-2645 0.0 114271 20705;-2645 4.82 114271 179089;-2646 4.82 114271 121473;-2646 0.0 117872 63857;-2646 0.0 117872 6241;-2646 0.0 117872 164625;-2646 4.91 121473 107009;-2648 4.91 121473 45792;-2648 0.0 121473 204176;-2648 0.0 125074 146560;-2648 0.0 125074 88944;-2648 4.68 125074 31328;-2649 4.68 128675 189712;-2649 0.0 128675 132096;-2649 0.0 128675 74480;-2649 0.0 132276 16864;-2649 4.02 132276 175248;-2650 4.02 132276 117632;-2650 0.0 135877 56415;-2650 0.0 135877 214799;
-2645 0.0 110670 197094;-2645 4.82 110670 139478;-2646 4.82 114271 81862;-2646 0.0 114271 20645;-2646 0.0 114271 179029;-2646 0.0 117872 121413;-2646 4.91 117872 63797;-2648 4.91 117872 6181;-2648 0.0 121473 164565;-2648 0.0 121473 106949;-2648 0.0 121473 49333;-2648 4.68 125074 207717;-2649 4.68 125074 150101;-2649 0.0 128675 88884;-2649 0.0 128675 31268;-2649 0.0 128675 189652;-2649 4.02 132276 132036;-2650 4.02 132276 74420;-2650 0.0 132276 16804;-2650 0.0 135877 175188;
-2645 3.17 110610 153882;-2645 7.68 110610 96266;-2646 5.44 110670 38650;-2646 3.11 114271 197034;-2646 3.11 114271 139418;-2646 3.11 114271 81802;-2646 7.75 117872 24186;-2648 5.56 117872 182570;-2648 3.13 117872 124954;-2648 3.13 121473 63737;-2648 3.13 121473 6121;-2648 7.58 121473 164505;-2649 5.41 125074 106889;-2649 3.28 125074 49273;-2649 3.28 125074 207657;-2649 3.28 128675 150041;-2649 7.2 128675 92425;-2650 5.0 128675 34809;-2650 3.76 132276 193193;-2650 3.76 132276 135577;
-2646 3.17 107009 114271;-2646 5.44 107009 56655;-2647 7.62 110610 215039;-2647 3.11 110670 157423;-2647 3.11 110670 99807;-2647 3.11 114271 38590;-2647 5.56 114271 196974;-2648 7.77 114271 139358;-2648 3.13 117872 81742;-2648 3.13 117872 24126;-2648 3.13 121473 182510;-2648 5.42 121473 124894;-2650 7.76 121473 67278;-2650 3.28 125074 9662;-2650 3.28 125074 168046;-2650 3.28 125074 110430;-2650 5.01 128675 49213;-2651 7.78 128675 207597;-2651 3.76 128675 149981;-2651 3.76 132276 92365;
-2646 0.0 107009 74660;-2646 4.76 107009 17044;-2647 4.76 107009 171827;-2647 0.0 110610 114211;-2647 0.0 110610 56595;-2647 0.0 110670 214979;-2647 4.93 114271 157363;-2648 4.93 114271 99747;-2648 0.0 114271 42131;-2648 0.0 117872 200515;-2648 0.0 117872 142899;-2648 4.82 117872 81682;-2650 4.82 121473 24066;-2650 0.0 121473 182450;-2650 0.0 121473 124834;-2650 0.0 125074 67218;-2650 4.5 125074 9602;-2651 4.5 125074 167986;-2651 0.0 128675 110370;-2651 0.0 128675 52754;
-2646 0.0 103408 31448;-2646 4.76 103408 189832;-2647 4.76 107009 132216;-2647 0.0 107009 74600;-2647 0.0 107009 16984;-2647 0.0 110610 175368;-2647 4.93 110670 117752;-2648 4.93 114271 56535;-2648 0.0 114271 214919;-2648 0.0 114271 157303;-2648 0.0 117872 99687;-2648 4.82 117872 42071;-2650 4.82 117872 200455;-2650 0.0 121473 142839;-2650 0.0 121473 85223;-2650 0.0 121473 27607;-2650 4.5 125074 185991;-2651 4.5 125074 128375;-2651 0.0 125074 67158;-2651 0.0 128675 9542;
-2646 0.0 103408 207837;-2646 4.76 103408 150221;-2647 4.76 103408 92605;-2647 0.0 107009 34989;-2647 0.0 107009 189772;-2647 0.0 107009 132156;-2647 4.93 110610 74540;-2648 4.93 110670 16924;-2648 0.0 110670 175308;-2648 0.0 114271 117692;-2648 0.0 114271 60076;-2648 4.82 114271 2460;-2650 4.82 117872 160844;-2650 0.0 117872 99627;-2650 0.0 117872 42011;-2650 0.0 121473 200395;-2650 4.5 121473 142779;-2651 4.5 121473 85163;-2651 0.0 125074 27547;-2651 0.0 125074 185931;
